,ro,rup,rup_std,rup_cun,en,es,fr,split
10,practica și teoria împreună -,teoria cu practica de-adun -,teoria cu practica de-adun -,teoria cu practica de-adun -,practice and theory together -,práctica y teoría juntas -,la pratique et la théorie ensemble -,train
11,fac întotdeauna treabă bună!,bitisesc un lucru bun,bitisesc un lucru bun,bitisesc un lucru bun,i always do a good job!,siempre hago un buen trabajo.,je fais toujours du bon travail !,train
12,săteanul și găina,horiatlu și găl'ina,horiatlu și găľina,horiatlu shi gãljina,the farmer and the hen,el granjero y la gallina,le fermier et la poule,train
13,"un sătean simplu, cum sunt toți sătenii, s-a gândit ce s-a gândit el, să se ducă în ospeție la împăratul său.","un horiat simplu, cum sunt toți horiațl'i, ș-u băgă tu minte să s-ducă oaspe la amirălu a lui.","un horiat simplu, cum sunt toți horiațľi, ș-u băgă tu minte să s-ducă oaspe la amirălu a lui.","un horiat simplu, cum sunt totsi horiatslji, sh-u bãgã tu minte sã s-ducã oaspe la amirãlu a lui.","a simple villager, as all villagers are, thought what he thought, to go and visit his emperor.","un simple aldeano, como son todos los aldeanos, pensó lo que pensó, ir a visitar a su emperador.","un simple villageois, comme le sont tous les villageois, a pensé ce qu'il a pensé, aller rendre visite à son empereur.",train
14,"fără să mai întrebe ușierul, a intrat în odaia unde mânca împăratul și s-a așezat la masă. săteanul nostru își adusese de-acasă, într-o tavă, o găină umplută cu fisticuri, stafide, orez și altele.","fără s-întreabă ușierlu, el intră tu oda iu măca amirălu și șidzu pe measă. horiatlu a nostru și-avea adusă deacasă, tru ună tavă, ună găl'ină umplută cu făstăț, stafidz, orez și alte.","fără s-întreabă ușierlu, el intră tu oda iu măca amirălu și șid̦u pe measă. horiatlu a nostru și-avea adusă deacasă, tru ună tavă, ună găľină umplută cu făstăț, stafid̦, orez și alte.","fãrã s-ãntreabã ushierlu, el intrã tu oda iu mãca amirãlu shi shidzu pe measã. horiatlu a nostru shi-avea adusã deacasã, tru unã tavã, unã gãljinã umplutã cu fãstãts, stafidz, orez shi alte.","without asking the doorman, he entered the room where the emperor was eating and sat down at the table. our villager had brought from home, in a tray, a chicken stuffed with pistachios, raisins, rice and more.","sin preguntar al portero, entró en la sala donde comía el emperador y se sentó a la mesa. nuestro aldeano había traído de casa, en una bandeja, un pollo relleno de pistachos, pasas, arroz y más.","sans demander l'avis du portier, il entre dans la salle où mange l'empereur et s'assoit à la table. notre villageois avait apporté de chez lui, dans un plateau, un poulet farci de pistaches, de raisins secs, de riz, etc.",train
15,"împăratul, care avea chef în ziua aceea, nu-i zise nimic săteanului, dar aștepta să vadă ce-are de gând să facă omul ăsta.","amirălu, care avea chefe dzua ațea, nu-l'i dzîse țiva a horiatlui, ma aștipta s-veadă ți va s-facă aist om.","amirălu, care avea chefe d̦ua ațea, nu-ľi d̦îse țiva a horiatlui, ma aștipta s-veadă ți va s-facă aist om.","amirãlu, care avea chefe dzua atsea, nu-lji dzãse tsiva a horiatlui, ma ashtipta s-veadã tsi va s-facã aist om.","the emperor, who was in a mood that day, said nothing to the villager, but waited to see what the man was going to do.","el emperador, que aquel día estaba de mal humor, no dijo nada al aldeano, sino que esperó a ver qué iba a hacer el hombre.","l'empereur, qui était de bonne humeur ce jour-là, ne dit rien au villageois, mais attendit de voir ce que l'homme allait faire.",train
16,"săteanul luă un cuțit și o furculiță și împărți găina: capul îl dete împăratului; aripile le dădu băieților acestuia, picioarele slugilor, iar mijlocul plin și-l opri pentru sine, și începu să mănânce.","horiatlu lo un cuțit și ună furculiță și u împărți găl'ina: caplu l'i lu deade a amirălui; areapitle a ficiorilor, cicioarle a huzmichiarlor, și mesea împlină și-u țînu tră năs, și acăță s-măcă.","horiatlu lo un cuțit și ună furculiță și u împărți găľina: caplu ľi lu deade a amirălui; areapitle a ficiorilor, cicioarle a huzmichiarlor, și mesea împlină și-u țînu tră năs, și acăță s-măcă.","horiatlu lo un cutsit shi unã furculitsã shi u ãmpãrtsi gãljina: caplu lji lu deade a amirãlui; areapitle a ficiorilor, cicioarle a huzmichiarlor, shi mesea ãmplinã shi-u tsãnu trã nãs, shi acãtsã s-mãcã.","the peasant took a knife and fork and divided the hen: the head he gave to the king, the wings he gave to his boys, the feet to the servants, and the full middle he kept for himself, and began to eat.","el campesino cogió un cuchillo y un tenedor y se repartió la gallina: la cabeza se la dio al rey, las alas a sus hijos, las patas a los criados y la parte central se la quedó para él, y empezó a comer.","le paysan prit un couteau et une fourchette et partagea la poule: il donna la tête au roi, les ailes à ses fils, les pattes aux serviteurs, et il garda le milieu pour lui.",train
17,"împăratul n-a mai răbdat, și i-a zis că împărțirea găinei nu e dreaptă, fiindcă partea cea mai bună și-a ținut-o pentru el.","amirălu nu putu s-aravdă, îl'i dzîse că împărțîrea a găl'inei nu e dreaptă, că partea ațea cama bună u țînu tră năs.","amirălu nu putu s-aravdă, îľi d̦îse că împărțîrea a găľinei nu e dreaptă, că partea ațea cama bună u țînu tră năs.","amirãlu nu putu s-aravdã, ãlji dzãse cã ãmpãrtsãrea a gãljinei nu e dreaptã, cã partea atsea cama bunã u tsãnu trã nãs.","the emperor could not wait any longer, and told him that the division of the hen was not fair, because he kept the best part for himself.","el emperador no pudo esperar más, -y le dijo que el reparto de la gallina no era justo, porque se quedaba con la mejor parte para él.","l'empereur ne put attendre plus longtemps, et lui dit que le partage de la poule n'était pas équitable, car il gardait pour lui la meilleure part.",train
18,"- iartă-mă, doamne... eu făcui cum trebuie. îți dădui capul pentru că ești capul nostru; fiilor voștri le dădui aripile, pentru că ei vă sunt ca niște aripi, ajutorul vostru; mai detei slugilor picioarele, că slugile nu fac alta decât aleargă în sus și în jos. pentru mine, care sunt om de mijloc, îmi oprii mijlocul...","- l'iartă-me, doamne... mine feci cum lipseaște. țî ded caplu, că tine ești caplu a nostru; ded areapitle a hil'ilor a voștri, că năși vă suntu ca niște areapite, agiutorlu a vostru; dedu cicioarle a huzmichiarlor, că năși nu fac alt țiva di cît alagă în sus și în ghios. mine, care escu un om di mese, țînui mesea...","- ľiartă-me, doamne... mine feci cum lipseaște. țî ded caplu, că tine ești caplu a nostru; ded areapitle a hiľilor a voștri, că năși vă suntu ca niște areapite, agiutorlu a vostru; dedu cicioarle a huzmichiarlor, că năși nu fac alt țiva di cît alagă în sus și în ghios. mine, care escu un om di mese, țînui mesea...","- ljiartã-me, doamne... mine feci cum lipseashte. tsã ded caplu, cã tine eshti caplu a nostru; ded areapitle a hiljilor a voshtri, cã nãshi vã suntu ca nishte areapite, agiutorlu a vostru; dedu cicioarle a huzmichiarlor, cã nãshi nu fac alt tsiva di cãt alagã ãn sus shi ãn ghios. mine, care escu un om di mese, tsãnui mesea...","- forgive me, lord... i did it right. i give you the head because you are our head; to your sons i give the wings, because they are like wings to you, your helper; to your servants i give the feet, because servants do nothing but run up and down. for me, who am a middle man, you stop my middle...","- perdóname, señor... lo hice bien. a ti te doy la cabeza, porque eres nuestra cabeza; a tus hijos les doy las alas, porque son como alas para ti, tu ayudante; a tus siervos les doy los pies, porque los siervos no hacen más que correr arriba y abajo. a mí, que soy un intermediario, me paras el medio...","- pardonnez-moi, seigneur... j'ai bien fait. je te donne la tête, parce que tu es notre tête; à tes fils, je donne les ailes, parce qu'ils sont comme des ailes pour toi, ton aide; à tes serviteurs, je donne les pieds, parce que les serviteurs ne font rien d'autre que monter et descendre. pour moi, qui suis un intermédiaire, tu arrêtes mon intermédiaire...",train
19,"la aceste vorbe, împăratul a râs mult de tot, și-l mai și dărui pe sătean.","la aiste zboară, amirălu arîse mult, și-l'i deade ună mare pișcheșe.","la aiste zboară, amirălu arîse mult, și-ľi deade ună mare pișcheșe.","la aiste zboarã, amirãlu arãse mult, shi-lji deade unã mare pishcheshe.","at these words, the emperor laughed out loud, and even gave the villager away.","ante estas palabras, el emperador rió a carcajadas, e incluso delató al aldeano.","à ces mots, l'empereur rit aux éclats et donne même le villageois en pâture.",train
20,această faptă de haz se răspândi în tot satul acela.,aistă faptă hazoasă s-arăspîndi tru tută ațea hoară.,aistă faptă hazoasă s-arăspîndi tru tută ațea hoară.,aistã faptã hazoasã s-arãspãndi tru tutã atsea hoarã.,this act of fun spread throughout the village.,este acto de diversión se extendió por todo el pueblo.,cet acte ludique s'est répandu dans tout le village.,train
21,cum de nu-s țigani haiduci,trî țe nu-are γifțî furi,trî țe nu-are yifțî furi,trã tse nu-are yiftsã furi,how come they're not gypsies,¿cómo es que no son gitanos?,comment se fait-il qu'ils ne soient pas gitans ?,train
22,"li se urâse să tot cerșească așa... decât cu mâinile arse mereu, necontenit bătând securi, potcoave, caièle de ce n-ar încinge sabia, cum fac atâția viteji? și-acolo sus, în munți, cu sabia jucându-le pe șold și cu pistoalele-n brâu să le iasă cărăușilor în drum, și să-i prade de bani...","lă si avea urîtă cu bana di γiftarγio. dicăt totîna cu măñile arse, ca s-facă țupate, guvojdzî, petale..., cama ghine s-țingă pala cum fac și-alț mulț gioñi și-aco tu munte, cu sala di mese ș-cu tufechea di-anumira, s-acață chirîgiadzl'i, p-lă l'ia pradzl'i.","lă si avea urîtă cu bana di yiftaryio. dicăt totîna cu măńile arse, ca s-facă țupate, guvojd̦î, petale..., cama ghine s-țingă pala cum fac și-alț mulț giońi și-aco tu munte, cu sala di mese ș-cu tufechea di-anumira, s-acață chirîgiad̦ľi, p-lă ľia prad̦ľi.","lã si avea urãtã cu bana di yiftaryio. dicãt totãna cu mãnjile arse, ca s-facã tsupate, guvojdzã, petale..., cama ghine s-tsingã pala cum fac shi-alts mults gionji shi-aco tu munte, cu sala di mese sh-cu tufechea di-anumira, s-acatsã chirãgiadzlji, p-lã ljia pradzlji.","they hated begging like that... rather than with hands burnt, constantly beating buckets, horseshoes, horseshoes why shouldn't they heat up their swords, as so many brave men do? and up there in the mountains, with swords on their hips and pistols in their belts to outwit the robbers on their way, and rob them of their money...","odiaban mendigar así... en lugar de con las manos quemadas, golpeando constantemente cubos, herraduras, herraduras ¿por qué no iban a calentar sus espadas, como hacen tantos hombres valientes? y allá arriba en las montañas, con las espadas en la cadera y las pistolas en el cinto para burlar a los ladrones en su camino, y robarles su dinero...","ils détestaient mendier ainsi... plutôt que de se brûler les mains en battant sans cesse des seaux, des fers à cheval, des fers à cheval, pourquoi ne pas chauffer leurs épées, comme le font tant d'hommes courageux ? et là-haut, dans les montagnes, l'épée à la hanche et le pistolet à la ceinture, pour déjouer les brigands sur leur chemin et leur voler leur argent...",train
23,"uite-așa s-a gândit țiganul tămâie, care avea trei feciori: pe cotta, pe culaie și pe albul. și nici una, nici alta se pregătiră, își umplură trăiștile cu pâine și fuga în munte; s-au făcut un fel de haiduci!","așe s-mindui γiftul thimñiul cu treil'i-a lui ficiori: cotta, cola și albul. ș-ni ună, ni dauă, li țimsiră, umplură trastile cu păne ș-fuga tu munte: ișeră furi!","așe s-mindui yiftul thimńiul cu treiľi-a lui ficiori: cotta, cola și albul. ș-ni ună, ni dauă, li țimsiră, umplură trastile cu păne ș-fuga tu munte: ișeră furi!","ashe s-mindui yiftul thimnjiul cu treilji-a lui ficiori: cotta, cola shi albul. sh-ni unã, ni dauã, li tsimsirã, umplurã trastile cu pãne sh-fuga tu munte: isherã furi!","so thought the gypsy incense, who had three sons: cotta, culaie and white. and neither one nor the other they got ready, filled their trays with bread and ran to the mountains; they became a kind of outlaws!","eso pensó el gitano incienso, que tuvo tres hijos: cotta, culaie y blanco. y ni uno ni otro se prepararon, llenaron sus bandejas de pan y huyeron a las montañas; ¡se convirtieron en una especie de forajidos!","c'est ce que pensait le gitan encens, qui avait trois fils: cotta, culaie et blanc. et ni l'un ni l'autre ils se préparèrent, remplirent leurs plateaux de pain et s'enfuirent dans les montagnes; ils devinrent des sortes de hors-la-loi !",train
